Epoch,Training Loss,Validation Loss,Validation MAE,Best Epoch
94,13.452608058763587,0.0340713117180801,66.84282051905132,No
95,13.440597401494566,0.02825037444510111,41.83303363141524,No
96,13.470272163722827,0.029403247484346716,46.07768455968118,No
97,13.468601392663043,0.03340685949092958,62.50721714618974,No
98,13.462321671195653,0.028219731842599263,40.08585244945568,No
99,13.448421577785327,0.027696786857232814,38.42179298697511,No
1,327623.06086956523,53.699022246570124,7710.791601866252,Yes
2,92.12705502717391,20.791712318978657,1427.8464230171073,Yes
3,36.75260699728261,4.417275777677211,478.0511275272162,Yes
4,6.302631411345109,0.617107530919517,169.22894391524105,Yes
5,1.426984040633492,0.3724480605706936,320.0854393468118,No
6,1.4130360478940218,0.3260612255189477,132.480620625972,Yes
7,1.1326238217561142,0.3100500804621999,89.13154889191291,Yes
